lattitude,longitude,geometry
9.94991294,77.18188607,POINT (77.18188607 9.949912940000001)
9.93444071,77.17730569,POINT (77.17730569 9.934440710000001)
9.93714527,77.17151676,POINT (77.17151676 9.93714527)
9.95372195,77.15526621,POINT (77.15526620999999 9.95372195)
9.95059411,77.15671852,POINT (77.15671852 9.950594110000001)
9.95249441,77.15279651,POINT (77.15279651 9.95249441)
9.95287501,77.15182494,POINT (77.15182494 9.95287501)
9.95851417,77.1351926,POINT (77.1351926 9.958514170000001)
9.94593605,77.1655517,POINT (77.16555169999999 9.94593605)
9.95125321,77.15135384,POINT (77.15135384 9.951253210000001)
9.92134118,77.17467222,POINT (77.17467222000001 9.921341180000001)
9.84432289,76.83291832,POINT (76.83291832 9.844322890000001)
9.617196628823876,77.13809539563954,POINT (77.13809539563954 9.617196628823876)
9.672346666666666,77.174755,POINT (77.174755 9.672346666666666)
9.893753333333333,76.63293666666667,POINT (76.63293666666667 9.893753333333333)
9.97378173,76.83075529999999,POINT (76.83075529999999 9.973781730000001)
9.54796922,76.96470751,POINT (76.96470751 9.547969220000001)
9.990938,76.7543944,POINT (76.7543944 9.990938)
9.98054277,76.75698293,POINT (76.75698293000001 9.98054277)
9.770863333333333,77.10175333333333,POINT (77.10175333333333 9.770863333333333)
10.02601227,77.02768413,POINT (77.02768413 10.02601227)
9.98611892,77.01900905,POINT (77.01900904999999 9.986118919999999)
9.98540527,76.98992805,POINT (76.98992805 9.985405269999999)
9.98533365,76.98995047,POINT (76.98995047 9.985333649999999)
10.01826333,77.05158625,POINT (77.05158625 10.01826333)
9.97527975,76.99039377,POINT (76.99039377 9.97527975)
9.664898333333333,77.18048,POINT (77.18048 9.664898333333333)
9.66514,77.18114999999997,POINT (77.18114999999997 9.665139999999999)
10.02291239,76.90615166,POINT (76.90615166000001 10.02291239)
10.02291239,76.90615166,POINT (76.90615166000001 10.02291239)
10.02288663,76.90600237,POINT (76.90600237 10.02288663)
10.0229481,76.9059842,POINT (76.90598420000001 10.0229481)
10.02358289,76.89588968,POINT (76.89588968 10.02358289)
10.02358289,76.89588968,POINT (76.89588968 10.02358289)
10.02358289,76.89588968,POINT (76.89588968 10.02358289)
10.02358289,76.89588968,POINT (76.89588968 10.02358289)
10.02358289,76.89588968,POINT (76.89588968 10.02358289)
10.02358289,76.89588968,POINT (76.89588968 10.02358289)
10.02357643,76.89583487,POINT (76.89583487 10.02357643)
9.96685455,76.72312884,POINT (76.72312884 9.966854550000001)
9.608909818343818,77.13718000799417,POINT (77.13718000799417 9.608909818343818)
9.671488333333334,77.17256333333333,POINT (77.17256333333333 9.671488333333334)
9.89254232,76.64941588,POINT (76.64941588000001 9.89254232)
10.0488986,77.19217196,POINT (77.19217196 10.0488986)
9.87915411,76.94921389,POINT (76.94921389 9.87915411)
9.85224299,76.95516183,POINT (76.95516182999999 9.852242990000001)
9.85229959,76.95483273,POINT (76.95483273000001 9.852299589999999)
9.85953183,76.94848409,POINT (76.94848408999999 9.85953183)
9.98933151,76.78915218,POINT (76.78915218 9.98933151)
9.67455116,77.16927529,POINT (77.16927529 9.67455116)
9.90947774,76.70388395,POINT (76.70388395000001 9.90947774)
9.94434834,76.76020479,POINT (76.76020479 9.944348339999999)
9.53199328,76.97075191,POINT (76.97075191 9.53199328)
9.891813333333333,76.65063,POINT (76.65063000000001 9.891813333333333)
9.626240757736927,76.8927602646943,POINT (76.8927602646943 9.626240757736927)
9.60078098,76.8944892,POINT (76.8944892 9.60078098)
9.53201435,76.95953496,POINT (76.95953496 9.532014350000001)
10.103406666666666,76.930545,POINT (76.930545 10.10340666666667)
9.602906573563814,77.16405993327498,POINT (77.16405993327498 9.602906573563814)
9.639357513785884,77.02793609224443,POINT (77.02793609224443 9.639357513785884)
9.56166764,76.94621914,POINT (76.94621914 9.56166764)
9.559800099999999,76.93930970000001,POINT (76.93930970000001 9.559800099999999)
9.90521072,77.04101887,POINT (77.04101887 9.905210719999999)
9.91420028,77.01787649,POINT (77.01787649000001 9.914200279999999)
9.625417683273556,77.15705316513777,POINT (77.15705316513777 9.625417683273556)
9.8932938,77.01643143,POINT (77.01643143 9.8932938)
10.168896666666663,76.922795,POINT (76.92279499999999 10.16889666666666)
9.88918616,77.02421596,POINT (77.02421596000001 9.88918616)
9.87869291,77.02167328,POINT (77.02167328 9.87869291)
9.87871444,77.02144081,POINT (77.02144081 9.87871444)
9.8821707,77.01837721,POINT (77.01837721 9.8821707)
9.626513523270008,77.17189671913624,POINT (77.17189671913624 9.626513523270008)
9.90772922,76.98956462,POINT (76.98956462 9.90772922)
9.91735678,76.98686567,POINT (76.98686567 9.91735678)
9.66796,77.18161666666667,POINT (77.18161666666667 9.667960000000001)
9.668466666666664,77.18207166666666,POINT (77.18207166666666 9.668466666666664)
9.668783333333332,77.181765,POINT (77.181765 9.668783333333332)
9.668758333333333,77.18189333333333,POINT (77.18189333333333 9.668758333333333)
9.6465,77.15954333333335,POINT (77.15954333333335 9.6465)
9.92014086,76.98603809,POINT (76.98603808999999 9.92014086)
9.56170361,76.94560476,POINT (76.94560475999999 9.56170361)
9.53934095,76.97183594,POINT (76.97183594000001 9.53934095)
9.635918763535708,77.04244553949286,POINT (77.04244553949286 9.635918763535708)
9.604888390749693,77.16310523450375,POINT (77.16310523450375 9.604888390749693)
9.99242598,76.99612971,POINT (76.99612971000001 9.99242598)
9.64350952745582,77.04817925117129,POINT (77.04817925117129 9.643509527455819)
9.9197705,76.99225523,POINT (76.99225523 9.9197705)
9.67991689,77.16924294,POINT (77.16924294 9.679916889999999)
9.674599170684814,77.17340290546417,POINT (77.17340290546417 9.674599170684814)
9.66689746,77.17754868,POINT (77.17754868 9.666897459999999)
9.67474038,77.17584653,POINT (77.17584653 9.674740379999999)
9.67197029,77.17499025,POINT (77.17499024999999 9.671970290000001)
9.66751813,77.17251614,POINT (77.17251614 9.667518129999999)
9.662357994770408,77.17362807456365,POINT (77.17362807456365 9.662357994770408)
9.663004096895813,77.1742026866912,POINT (77.1742026866912 9.663004096895813)
9.66759435,77.17308766,POINT (77.17308765999999 9.66759435)
9.66875202,77.17350196,POINT (77.17350196 9.668752019999999)
9.67244508,77.16645002,POINT (77.16645002 9.672445079999999)
9.6692864,77.17029556,POINT (77.17029556 9.669286400000001)
9.662236087004773,77.16741371494345,POINT (77.16741371494345 9.662236087004773)
9.90179657,76.72460271,POINT (76.72460271 9.90179657)
9.644773404550747,77.04830238940866,POINT (77.04830238940866 9.644773404550747)
9.88948877,76.83686740000002,POINT (76.83686740000002 9.88948877)
9.88313849,76.83761952,POINT (76.83761952 9.88313849)
9.84476186,76.88116796,POINT (76.88116796 9.84476186)
10.03670491,76.87640769,POINT (76.87640768999999 10.03670491)
9.98631776,77.1672541,POINT (77.16725409999999 9.98631776)
9.9384871,76.76088358,POINT (76.76088358 9.9384871)
9.95673198,76.76633778,POINT (76.76633778 9.956731980000001)
10.129253333333333,76.95014499999999,POINT (76.95014499999999 10.12925333333333)
10.11400894,76.91277383,POINT (76.91277383000001 10.11400894)
9.8649159,76.83980517,POINT (76.83980517000001 9.8649159)
9.88428402,76.81686871,POINT (76.81686870999999 9.884284020000001)
9.95334298,76.75940044,POINT (76.75940043999999 9.95334298)
9.93981969,76.76146098,POINT (76.76146098 9.93981969)
9.94015186,76.75625959999999,POINT (76.75625959999999 9.94015186)
9.870138333333333,76.77327333333331,POINT (76.77327333333331 9.870138333333333)
9.88078,76.77763833333333,POINT (76.77763833333333 9.88078)
9.662923333333334,76.99666333333333,POINT (76.99666333333333 9.662923333333334)
9.664903333333333,76.98128333333334,POINT (76.98128333333334 9.664903333333333)
9.688391666666666,76.94471,POINT (76.94471 9.688391666666666)
9.699308333333333,76.95441333333333,POINT (76.95441333333333 9.699308333333333)
9.666511666666667,76.99018166666666,POINT (76.99018166666666 9.666511666666667)
9.688233333333333,76.93956499999999,POINT (76.93956499999999 9.688233333333333)
9.69583,76.94876833333333,POINT (76.94876833333333 9.695830000000001)
9.681546666666666,76.97665,POINT (76.97665000000001 9.681546666666666)
9.661448333333334,76.990625,POINT (76.99062499999999 9.661448333333334)
9.93333623,77.17795812,POINT (77.17795812 9.93333623)
9.92439835,77.18321749,POINT (77.18321749 9.924398350000001)
9.92104428,77.18967215,POINT (77.18967215000001 9.92104428)
9.91972225,77.19122308,POINT (77.19122308 9.91972225)
9.94276875,77.18360751,POINT (77.18360751 9.942768750000001)
9.95355966,77.18575566,POINT (77.18575566 9.95355966)
10.01177519,76.97250073,POINT (76.97250072999999 10.01177519)
9.86479828,77.02101666,POINT (77.02101666 9.86479828)
9.92693133,76.75141547,POINT (76.75141547 9.92693133)
9.809082296453527,77.12355401255275,POINT (77.12355401255275 9.809082296453527)
9.95336285,76.78107029,POINT (76.78107029 9.95336285)
9.816478696134313,77.08450360899322,POINT (77.08450360899322 9.816478696134313)
9.79922725,77.08316842,POINT (77.08316842000001 9.79922725)
9.9868095,77.1343496,POINT (77.13434959999999 9.9868095)
9.9909767,76.77853859,POINT (76.77853859 9.990976699999999)
10.08473849,77.07066111,POINT (77.07066111 10.08473849)
10.08506363,77.07024521,POINT (77.07024521 10.08506363)
10.08509902,77.07024709,POINT (77.07024709 10.08509902)
10.0816611,77.12286999,POINT (77.12286999 10.0816611)
10.0809381,77.12686519,POINT (77.12686519 10.0809381)
9.83720488,77.07176455,POINT (77.07176455 9.83720488)
9.89445153,76.7251179,POINT (76.7251179 9.89445153)
9.71309535,77.02131452,POINT (77.02131452 9.71309535)
9.879655,76.8859016,POINT (76.8859016 9.879655)
9.87933609,76.87324155,POINT (76.87324155 9.879336090000001)
9.87928517,76.87319015,POINT (76.87319015 9.879285169999999)
9.94547833,76.76320648,POINT (76.76320647999999 9.94547833)
9.97810286,76.78263797,POINT (76.78263797 9.97810286)
9.87843881,76.86812044,POINT (76.86812044 9.87843881)
10.00640883326536,76.98413179721506,POINT (76.98413179721506 10.00640883326536)
10.14373909,76.91539849,POINT (76.91539849 10.14373909)
10.017528137068037,76.79030483887377,POINT (76.79030483887377 10.01752813706804)
10.017270287368019,76.7851032886693,POINT (76.7851032886693 10.01727028736802)
10.008515339076137,76.95740599993749,POINT (76.95740599993749 10.00851533907614)
10.12406605,76.92202026,POINT (76.92202026 10.12406605)
9.89001465,76.83116559,POINT (76.83116559 9.890014649999999)
9.61887220867716,77.13102187841622,POINT (77.13102187841622 9.618872208677161)
9.98582633,77.03423921,POINT (77.03423921 9.98582633)
10.03305356,76.98625651,POINT (76.98625651 10.03305356)
10.0333544,76.98727170000001,POINT (76.98727170000001 10.0333544)
10.032698,76.9858205,POINT (76.9858205 10.032698)
10.03282888,76.98595365,POINT (76.98595365 10.03282888)
10.0328594,76.98585179999999,POINT (76.98585179999999 10.0328594)
10.03744247,76.99555564,POINT (76.99555564000001 10.03744247)
10.02754331,77.04530908,POINT (77.04530908 10.02754331)
10.02995526,77.048248,POINT (77.048248 10.02995526)
9.942521000000001,77.06424949,POINT (77.06424948999999 9.942521000000001)
9.596560573030755,77.16411922944705,POINT (77.16411922944705 9.596560573030755)
9.81589467,77.08303638,POINT (77.08303638 9.81589467)
9.607479033303184,77.17229070071937,POINT (77.17229070071937 9.607479033303184)
9.80601147,77.10319979,POINT (77.10319979000001 9.80601147)
9.846155,76.64971999999999,POINT (76.64971999999999 9.846155)
9.664986666666666,76.98868333333333,POINT (76.98868333333333 9.664986666666666)
10.0316277,76.9900475,POINT (76.9900475 10.0316277)
9.772948333333334,76.875485,POINT (76.875485 9.772948333333334)
9.796823333333332,76.82563166666667,POINT (76.82563166666667 9.796823333333332)
9.894341666666666,76.68903833333334,POINT (76.68903833333334 9.894341666666666)
10.085690199999998,77.07068659999999,POINT (77.07068659999999 10.0856902)
9.80995956,77.1198103,POINT (77.1198103 9.809959559999999)
9.899291666666667,76.67821333333333,POINT (76.67821333333333 9.899291666666667)
9.776283333333334,76.88722,POINT (76.88722 9.776283333333334)
10.142924,76.91434107,POINT (76.91434107000001 10.142924)
10.16789266,76.92246898,POINT (76.92246898 10.16789266)
10.092476666666666,76.93542000000002,POINT (76.93542000000002 10.09247666666667)
10.094885000000001,76.92865,POINT (76.92865 10.094885)
10.00823342,76.81570703,POINT (76.81570703 10.00823342)
10.00838884,76.81072313,POINT (76.81072313 10.00838884)
10.01113833,76.81376245,POINT (76.81376245 10.01113833)
10.00721383,76.8156859,POINT (76.81568590000001 10.00721383)
10.00391692,76.82160136,POINT (76.82160136 10.00391692)
10.00230422,76.82648835,POINT (76.82648835000001 10.00230422)
10.00253231,76.82788151,POINT (76.82788151 10.00253231)
10.00557975,76.83083322,POINT (76.83083322 10.00557975)
10.00420608,76.82921184,POINT (76.82921184 10.00420608)
9.99618411,76.82326442,POINT (76.82326442 9.99618411)
9.99619234,76.82331514,POINT (76.82331514000001 9.99619234)
10.05123478,76.71202435,POINT (76.71202434999999 10.05123478)
10.00038071,76.80072453,POINT (76.80072453 10.00038071)
10.00092961,76.80667839,POINT (76.80667839 10.00092961)
9.90381108,76.68210812,POINT (76.68210812 9.903811080000001)
10.00098064,76.81032859,POINT (76.81032859 10.00098064)
10.00444499,76.81622181,POINT (76.81622181 10.00444499)
10.00539947,76.8161989,POINT (76.8161989 10.00539947)
10.00403189,76.80956771,POINT (76.80956771 10.00403189)
9.788588333333333,76.88898166666667,POINT (76.88898166666667 9.788588333333333)
9.792083333333332,76.89176666666667,POINT (76.89176666666667 9.792083333333332)
9.868855499999999,76.84702852,POINT (76.84702851999999 9.868855499999999)
9.8835353,76.86687109999998,POINT (76.86687109999998 9.8835353)
9.86179062,76.86789382,POINT (76.86789382000001 9.861790620000001)
9.786786666666666,76.892315,POINT (76.892315 9.786786666666666)
9.796159,77.10281638,POINT (77.10281637999999 9.796158999999999)
9.893961099999999,76.70800679,POINT (76.70800679 9.893961099999999)
9.999855404493797,76.83136325611322,POINT (76.83136325611322 9.999855404493797)
9.7521339,77.1181066,POINT (77.1181066 9.7521339)
9.642187105491756,77.13465680368245,POINT (77.13465680368245 9.642187105491756)
10.2357,77.15453166666666,POINT (77.15453166666666 10.2357)
10.233585,77.160725,POINT (77.160725 10.233585)
10.234393333333333,77.16360333333334,POINT (77.16360333333334 10.23439333333333)
10.228458333333332,77.16938499999998,POINT (77.16938499999998 10.22845833333333)
10.224746666666666,77.16959166666669,POINT (77.16959166666669 10.22474666666667)
10.219161666666668,77.155625,POINT (77.155625 10.21916166666667)
10.216048333333333,77.15850333333333,POINT (77.15850333333333 10.21604833333333)
10.240095,77.18290999999998,POINT (77.18290999999998 10.240095)
10.228623333333333,77.17161833333333,POINT (77.17161833333333 10.22862333333333)
10.222898333333337,77.17207166666667,POINT (77.17207166666667 10.22289833333334)
10.222835,77.17198166666667,POINT (77.17198166666667 10.222835)
10.2166204,77.2008642,POINT (77.2008642 10.2166204)
10.21727,77.20301166666667,POINT (77.20301166666667 10.21727)
10.223588333333334,77.17022333333333,POINT (77.17022333333333 10.22358833333333)
10.222691666666666,77.17128833333331,POINT (77.17128833333331 10.22269166666667)
10.2243,77.16823333333333,POINT (77.16823333333333 10.2243)
10.223008333333333,77.169015,POINT (77.169015 10.22300833333333)
9.80871985,77.11465575,POINT (77.11465575 9.808719849999999)
10.01652142,76.98592647,POINT (76.98592647 10.01652142)
10.014005699999998,76.95098088,POINT (76.95098088 10.0140057)
10.01401876,76.95087569,POINT (76.95087569 10.01401876)
10.03309177,76.98577023,POINT (76.98577023 10.03309177)
10.03309177,76.98577023,POINT (76.98577023 10.03309177)
9.95756041,77.16797996,POINT (77.16797996 9.957560409999999)
9.96264646,77.13967634,POINT (77.13967633999999 9.96264646)
9.95880616,77.18080492,POINT (77.18080492 9.95880616)
9.98517272,77.17094195,POINT (77.17094195 9.98517272)
9.98407909,77.17100652,POINT (77.17100652000001 9.98407909)
9.96868355,77.17529541,POINT (77.17529541 9.96868355)
9.847445,76.85495165,POINT (76.85495165 9.847445)
9.97165324,77.00815920000001,POINT (77.00815920000001 9.97165324)
10.01413537,77.04374688,POINT (77.04374688 10.01413537)
9.680236666666667,76.94997166666667,POINT (76.94997166666667 9.680236666666667)
10.24560072,77.16511576,POINT (77.16511576000001 10.24560072)
9.688726666666668,76.94421333333334,POINT (76.94421333333334 9.688726666666668)
10.23818447,77.15699749,POINT (77.15699748999999 10.23818447)
10.26957369,77.17221428,POINT (77.17221428000001 10.26957369)
9.666478333333334,76.96796166666667,POINT (76.96796166666667 9.666478333333334)
10.23940828,77.16329323,POINT (77.16329322999999 10.23940828)
9.638835,77.16505666666667,POINT (77.16505666666667 9.638835)
10.123946666666663,76.91934166666667,POINT (76.91934166666667 10.12394666666666)
9.80791403,77.12470181,POINT (77.12470181 9.807914029999999)
10.26356512,77.16127929,POINT (77.16127929 10.26356512)
9.8865045,76.81244699999999,POINT (76.81244699999999 9.886504499999999)
10.112791666666668,76.90736833333334,POINT (76.90736833333334 10.11279166666667)
10.125015,76.92215999999999,POINT (76.92215999999999 10.125015)
10.01397792,76.95090444,POINT (76.95090444 10.01397792)
10.280849528498948,77.16805005446076,POINT (77.16805005446076 10.28084952849895)
10.230610454455018,77.14263235218823,POINT (77.14263235218823 10.23061045445502)
10.238204039633272,77.16185867786406,POINT (77.16185867786406 10.23820403963327)
10.280469870194793,77.16797344386579,POINT (77.16797344386579 10.28046987019479)
10.245632836595178,77.16506701894104,POINT (77.16506701894104 10.24563283659518)
10.280168876051905,77.16970782727003,POINT (77.16970782727003 10.2801688760519)
10.265580299310386,77.15506045147777,POINT (77.15506045147777 10.26558029931039)
10.265747350640597,77.15167080983521,POINT (77.15167080983521 10.2657473506406)
10.12658,76.92641833333333,POINT (76.92641833333333 10.12658)
9.756708333333334,76.977175,POINT (76.977175 9.756708333333334)
9.764585,76.98675666666666,POINT (76.98675666666666 9.764585)
10.1227103,76.9219917,POINT (76.92199170000001 10.1227103)
9.604935119859872,77.1628746483475,POINT (77.1628746483475 9.604935119859872)
9.604920241981743,77.16294421814382,POINT (77.16294421814382 9.604920241981743)
10.02164,77.05712,POINT (77.05712 10.02164)
10.018088333333333,77.06068499999998,POINT (77.06068499999998 10.01808833333333)
9.598708245903254,77.16327941045166,POINT (77.16327941045166 9.598708245903254)
9.83650261,77.0642507,POINT (77.0642507 9.83650261)
9.613114977255462,77.12281929329038,POINT (77.12281929329038 9.613114977255462)
10.124486666666666,76.921665,POINT (76.921665 10.12448666666667)
10.12448,76.92171833333333,POINT (76.92171833333333 10.12448)
9.613868333333333,77.04916,POINT (77.04916 9.613868333333333)
9.613833333333334,77.04898,POINT (77.04898 9.613833333333334)
10.124506666666667,76.92163166666666,POINT (76.92163166666666 10.12450666666667)
10.124446666666667,76.92172166666666,POINT (76.92172166666666 10.12444666666667)
10.124473333333333,76.921655,POINT (76.921655 10.12447333333333)
9.758389999999999,77.07331333333333,POINT (77.07331333333333 9.758389999999999)
9.714756666666666,77.04115666666667,POINT (77.04115666666667 9.714756666666666)
9.718721666666664,77.056425,POINT (77.056425 9.718721666666664)
9.6911041,77.1998374,POINT (77.19983740000001 9.6911041)
9.635183333333334,77.02258166666667,POINT (77.02258166666667 9.635183333333334)
10.233188333333334,77.16217333333334,POINT (77.16217333333334 10.23318833333333)
9.82249573,77.09919853,POINT (77.09919853 9.82249573)
9.879618887789547,76.6382009536028,POINT (76.63820095360281 9.879618887789547)
10.007833333333334,77.06632666666665,POINT (77.06632666666665 10.00783333333333)
10.00781,77.06631999999998,POINT (77.06631999999998 10.00781)
10.24572312,77.16533425,POINT (77.16533425 10.24572312)
9.664001666666667,77.1546733333333,POINT (77.15467333333331 9.664001666666667)
9.8887794,76.75799909999999,POINT (76.75799909999999 9.888779400000001)
9.96172595,76.79156691,POINT (76.79156691 9.96172595)
9.626603333333332,77.16729166666667,POINT (77.16729166666667 9.626603333333332)
9.625013333333333,77.16577166666666,POINT (77.16577166666666 9.625013333333333)
